3330	L
3996	L
4662	L
5328	R
5994	L
6660	L
7326	L
7992	R
8658	L
9324	L
9990	L
10656	R
13320	L
13653	R
13986	L
14319	R
14985	L
15318	R
15651	L
15984	L
16317	L
16650	R
16983	R
17316	L
17649	L
17982	R
18315	R
18648	L
18981	L
19314	L
19647	L
20313	L
21312	R
21978	R
22644	R
23310	R
23976	L
24642	L
25308	L
25974	R
26640	L
27306	L
27972	R
28638	R
29304	R
30303	L
30636	L
30969	L
31302	L
31635	L
31968	L
32301	R
33633	R
34632	L
34965	L
35298	R
36297	L
36630	L
36963	L
37296	L
37629	L
37962	R
38961	L
39294	L
39627	L
39960	L
40293	L
40626	R
41625	L
41958	L
42291	L
42624	L
42957	L
43290	R
44955	L
45288	R
45954	L
46620	L
47286	L
47952	R
48618	L
49284	L
49950	L
50616	R
51282	L
51948	L
52614	L
53280	R
53946	L
54612	L
55278	L
55944	R
56610	L
57942	L
59274	L
60606	L
61938	L
63270	L
64602	L
